IOU img(b (27).png)  : 0.954204942205349
Precision, Recall img(b (27).png)  : 0.9766844771355214, 0.9764473273439939
IOU img(b (52).png)  : 0.9460007032466554
Precision, Recall img(b (52).png)  : 0.9867956823977364, 0.9581291230688351
IOU img(b (145).png)  : 0.9068025374544473
Precision, Recall img(b (145).png)  : 0.9515615041427661, 0.9506862883826235
IOU img(b (74).png)  : 0.9380174705658945
Precision, Recall img(b (74).png)  : 0.9829071734155805, 0.9535723248585934
IOU img(a82.png)  : 0.9326975148925928
Precision, Recall img(a82.png)  : 0.9728856111721325, 0.9575894236115401
IOU img(b (102).png)  : 0.9484567586839157
Precision, Recall img(b (102).png)  : 0.9893741366486027, 0.9582175568591129
IOU img(a73.png)  : 0.909063875341977
Precision, Recall img(a73.png)  : 0.9406153846153846, 0.9644141586219951
IOU img(a98.png)  : 0.8637770897832817
Precision, Recall img(a98.png)  : 0.9451801663073607, 0.9093333333333333
IOU img(b (51).png)  : 0.906860628812764
Precision, Recall img(b (51).png)  : 0.9891084041355308, 0.9160078114631326
IOU img(a9.png)  : 0.9568356954249071
Precision, Recall img(a9.png)  : 0.981157097861524, 0.9747474747474747
IOU img(a89.png)  : 0.9267025009995113
Precision, Recall img(a89.png)  : 0.9541691442162558, 0.9698730763866289
IOU img(a74.png)  : 0.9241863751610624
Precision, Recall img(a74.png)  : 0.9496860718404305, 0.9717669682269131
IOU img(a41.png)  : 0.9296904611497158
Precision, Recall img(a41.png)  : 0.9619582979279692, 0.9651757607555089
IOU img(b (77).png)  : 0.8899238253261935
Precision, Recall img(b (77).png)  : 0.9783455862030844, 0.9078051470116815
IOU img(b (106).png)  : 0.8839715421636326
Precision, Recall img(b (106).png)  : 0.9752221922973336, 0.904281127363539
IOU img(b (6).png)  : 0.9500995710784313
Precision, Recall img(b (6).png)  : 0.9568604763282229, 0.9926180807009822
IOU img(b (94).png)  : 0.7185688302830511
